sample	fraction	asv	asv_depth	total_asv_depth	relative_abundance	relative_abundance_pct	NM	mapping_category	abundance_bin
AD1_ont	0.111	final_consensus_62_depth_295	295	125002	0.0023599622406041505	0.23599622406041504	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_63_depth_291	291	125002	0.0023279627525959585	0.23279627525959584	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_64_depth_290	290	125002	0.0023199628805939104	0.23199628805939104	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_65_depth_282	282	125002	0.0022559639045775268	0.22559639045775268	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_66_depth_279	279	125002	0.002231964288571383	0.22319642885713828	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_67_depth_260	260	125002	0.0020799667205324713	0.20799667205324715	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_68_depth_257	257	125002	0.0020559671045263274	0.20559671045263275	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_69_depth_256	256	125002	0.0020479672325242797	0.20479672325242795	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_70_depth_252	252	125002	0.0020159677445160877	0.20159677445160878	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_71_depth_251	251	125002	0.0020079678725140396	0.20079678725140399	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_72_depth_249	249	125002	0.0019919681285099438	0.1991968128509944	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_73_depth_246	246	125002	0.0019679685125038	0.19679685125038	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_74_depth_246	246	125002	0.0019679685125038	0.19679685125038	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_75_depth_236	236	125002	0.0018879697924833203	0.18879697924833203	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_76_depth_233	233	125002	0.0018639701764771764	0.18639701764771763	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_77_depth_230	230	125002	0.0018399705604710324	0.18399705604710326	0	NM_0	0.1-<1%
