method	sample	platform	fraction	runtime_s	max_rss_gb	num_reads
unoise_min3	ziels_pb_zymo	pb	134.1348	0.1858	0.015927734375	134.1348
unoise_min3	ziels_pb_zymo	pb	1581.1388	0.2036	0.0165234375	1581.1388
unoise_min3	ziels_pb_zymo	pb	18637.9686	0.2332	0.00322265625	18637.9686
unoise_min3	ziels_pb_zymo	pb	219.6985	0.198	0.0140625	219.6985
unoise_min3	ziels_pb_zymo	pb	2589.7373	0.2426	0.003134765625	2589.7373
unoise_min3	ziels_pb_zymo	pb	30527.0115	0.2722	0.00283203125	30527.0115
unoise_min3	ziels_pb_zymo	pb	359.8428	0.197	0.016044921875	359.8428
unoise_min3	ziels_pb_zymo	pb	4241.7145	0.2475	0.004677734375	4241.7145
unoise_min3	ziels_pb_zymo	pb	50.0	0.2146	0.002822265625	50.0
unoise_min3	ziels_pb_zymo	pb	50000.0	0.2792	0.014580078125	50000.0
unoise_min3	ziels_pb_zymo	pb	589.3843	0.2104	0.014169921875	589.3843
unoise_min3	ziels_pb_zymo	pb	6947.4775	0.1873	0.01419921875	6947.4775
unoise_min3	ziels_pb_zymo	pb	81.8947	0.198	0.014169921875	81.8947
unoise_min3	ziels_pb_zymo	pb	965.3489	0.2264	0.00302734375	965.3489
dada2	ziels_pb_zymo	pb	11379.2296	28.7049	0.851552734375	11379.2296
dada2	ziels_pb_zymo	pb	134.1348	20.2504	0.89015625	134.1348
dada2	ziels_pb_zymo	pb	1581.1388	21.1302	0.890341796875	1581.1388
dada2	ziels_pb_zymo	pb	18637.9686	35.7809	0.837490234375	18637.9686
dada2	ziels_pb_zymo	pb	219.6985	27.0553	0.375556640625	219.6985
dada2	ziels_pb_zymo	pb	2589.7373	23.0969	0.880400390625	2589.7373
dada2	ziels_pb_zymo	pb	30527.0115	43.6725	0.83978515625	30527.0115
dada2	ziels_pb_zymo	pb	359.8428	22.0213	0.832451171875	359.8428
dada2	ziels_pb_zymo	pb	4241.7145	24.4625	0.844111328125	4241.7145
dada2	ziels_pb_zymo	pb	50.0	21.2449	0.839794921875	50.0
dada2	ziels_pb_zymo	pb	50000.0	54.5331	1.879443359375	50000.0
dada2	ziels_pb_zymo	pb	589.3843	23.1077	0.71126953125	589.3843
dada2	ziels_pb_zymo	pb	6947.4775	28.3762	0.6421875	6947.4775
dada2	ziels_pb_zymo	pb	81.8947	20.6909	0.85873046875	81.8947
dada2	ziels_pb_zymo	pb	965.3489	21.5921	0.88931640625	965.3489
